Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS,FRPT,FSBW,FSCS
Date,,,,,,,,,,,,,,,
2012-11-01,,4.85042142868042,,,4.85042142868042,,,4.749370982249578,,,4.749370982249578,,,42800,
2012-11-02,,4.85042142868042,,,4.85042142868042,,,4.810001095917339,,,4.85042142868042,,,29200,
2012-11-05,,4.846380710601807,,,4.850422822134726,,,4.826170538414184,,,4.826170538414184,,,6600,
2012-11-06,,4.822127342224121,,,4.850421343374546,,,4.822127342224121,,,4.8463792330739555,,,10800,
2012-11-07,,4.822127342224121,,,4.822127342224121,,,4.822127342224121,,,4.822127342224121,,,400,
2012-11-08,,4.822127342224121,,,4.822127342224121,,,4.81808523192353,,,4.822127342224121,,,4400,
2012-11-09,,4.822127342224121,,,4.822127342224121,,,4.822127342224121,,,4.822127342224121,,,0,
2012-11-12,,4.846380710601807,,,4.846380710601807,,,4.729162174485963,,,4.777666356450073,,,6600,
2012-11-13,,4.85042142868042,,,4.85042142868042,,,4.80595937102252,,,4.80595937102252,,,37200,
2012-11-14,,4.85042142868042,,,4.85042142868042,,,4.85042142868042,,,4.85042142868042,,,1200,
2012-11-15,,4.809999942779541,,,4.850420265852351,,,4.809999942779541,,,4.850420265852351,,,7000,
2012-11-16,,4.85042142868042,,,4.931261708729721,,,4.84637931830874,,,4.85042142868042,,,53600,
2012-11-19,,4.935304641723633,,,4.9474305893829795,,,4.842338015063506,,,4.850422237154355,,,14000,
2012-11-20,,5.044437885284424,,,5.044437885284424,,,4.947429553369765,,,4.947429553369765,,,20400,
2012-11-21,,5.084858417510986,,,5.25058108745815,,,5.0403963599934345,,,5.0403963599934345,,,55800,
2012-11-23,,5.234413146972656,,,5.246539092840063,,,5.157614975843257,,,5.157614975843257,,,5200,
2012-11-26,,5.242496490478516,,,5.242496490478516,,,5.088899788448971,,,5.088899788448971,,,5200,
2012-11-27,,5.242496490478516,,,5.242496490478516,,,5.17378216626854,,,5.17378216626854,,,8000,
2012-11-28,,5.226329326629639,,,5.226329326629639,,,5.076774708910644,,,5.076774708910644,,,2200,
2012-11-29,,5.2546234130859375,,,5.517354429549484,,,5.230371135415715,,,5.230371135415715,,,27200,
2012-11-30,,5.291001796722412,,,5.291001796722412,,,5.278875850259349,,,5.278875850259349,,,6200,
2012-12-03,,5.278874397277832,,,5.282916121335131,,,5.254622125550124,,,5.282916121335131,,,10000,
2012-12-04,,5.262707710266113,,,5.282917492227301,,,5.254623489100132,,,5.258665599683123,,,15800,
2012-12-05,,5.282916069030762,,,5.2910002880188856,,,5.282916069030762,,,5.282916069030762,,,5800,
2012-12-06,,5.375882625579834,,,5.379924735048008,,,5.254622039872047,,,5.2869581446638865,,,32000,
2012-12-07,,5.270792007446289,,,5.291002176653886,,,5.270792007446289,,,5.291002176653886,,,7000,
2012-12-10,,5.270792007446289,,,5.270792007446289,,,5.270792007446289,,,5.270792007446289,,,400,
2012-12-11,,5.234413146972656,,,5.254623313736246,,,5.109110806896762,,,5.109110806896762,,,7800,
2012-12-12,,5.226329326629639,,,5.23037105161252,,,5.153572880261582,,,5.161657101181087,,,4600,
2012-12-13,,5.250581741333008,,,5.262708073919909,,,5.214203514526119,,,5.2586659630576085,,,6400,
2012-12-14,,5.2546234130859375,,,5.26270763413497,,,5.246539192036905,,,5.26270763413497,,,30800,
2012-12-17,,5.2546234130859375,,,5.26270763413497,,,5.234413245940232,,,5.234413245940232,,,10400,
